fold,model,setting,accuracy,f1,roc_auc
1,Logistic Regression,TRTR,0.9736842105263158,0.9787234042553191,0.9950867998689814
1,Logistic Regression,TSTR,0.9912280701754386,0.993006993006993,0.998689813298395
1,Random Forest,TRTR,0.9649122807017544,0.9714285714285714,0.9983622666229938
1,Random Forest,TSTR,0.9649122807017544,0.971830985915493,0.9977071732721913
2,Logistic Regression,TRTR,0.9473684210526315,0.9594594594594594,0.9977071732721913
2,Logistic Regression,TSTR,0.956140350877193,0.9659863945578231,0.9983622666229938
2,Random Forest,TRTR,0.9298245614035088,0.9459459459459459,0.9744513593187029
2,Random Forest,TSTR,0.9473684210526315,0.9583333333333334,0.9816573861775303
3,Logistic Regression,TRTR,0.9649122807017544,0.972972972972973,0.9851190476190477
3,Logistic Regression,TSTR,0.9649122807017544,0.972972972972973,0.9884259259259259
3,Random Forest,TRTR,0.956140350877193,0.9659863945578231,0.9904100529100529
3,Random Forest,TSTR,0.9473684210526315,0.958904109589041,0.9937169312169312
4,Logistic Regression,TRTR,0.9912280701754386,0.993006993006993,1.0
4,Logistic Regression,TSTR,0.9824561403508771,0.9861111111111112,0.9986772486772487
4,Random Forest,TRTR,0.9385964912280702,0.9496402877697842,0.996031746031746
4,Random Forest,TSTR,0.9473684210526315,0.9577464788732394,0.9930555555555556
5,Logistic Regression,TRTR,0.9911504424778761,0.993006993006993,0.9986586183769282
5,Logistic Regression,TSTR,0.9911504424778761,0.993006993006993,0.994634473507713
5,Random Forest,TRTR,0.9646017699115044,0.9722222222222222,0.9906103286384976
5,Random Forest,TSTR,0.9557522123893806,0.965034965034965,0.9916163648558015
